source	target	number_of_paths	edge_type	edge_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	1864
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	1864
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	1192
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	352
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	320
NGLY1::NCBIGene:55768	Aqp1::NCBIGene:11826	0	NA	0
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	in 1 to 1 orthology relationship with	832
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	has phenotype	832
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	enables	344
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	is part of	240
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	involved in	212
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	None	36
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	132	in 1 to 1 orthology relationship with	264
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	132	has phenotype	264
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	132	involved in	136
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	132	is part of	80
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	132	None	20
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	132	enables	28
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	196	in 1 to 1 orthology relationship with	392
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	196	has phenotype	392
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	196	None	96
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	196	involved in	288
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	196	is part of	8
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	228	in 1 to 1 orthology relationship with	456
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	228	has phenotype	456
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	228	involved in	120
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	228	is part of	336
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	64	in 1 to 1 orthology relationship with	128
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	64	has phenotype	128
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	64	involved in	64
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	64	Source	64
AQP1::NCBIGene:358	Aqp1::NCBIGene:11826	0	NA	0
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	336	in 1 to 1 orthology relationship with	672
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	336	has phenotype	672
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	336	enables	264
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	336	None	44
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	336	involved in	220
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	336	is part of	144
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	40	in 1 to 1 orthology relationship with	80
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	40	has phenotype	80
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	40	involved in	64
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	40	is part of	16
AQP1::NCBIGene:358	AQP3::NCBIGene:360	660	in 1 to 1 orthology relationship with	1320
AQP1::NCBIGene:358	AQP3::NCBIGene:360	660	has phenotype	1320
AQP1::NCBIGene:358	AQP3::NCBIGene:360	660	involved in	836
AQP1::NCBIGene:358	AQP3::NCBIGene:360	660	None	452
AQP1::NCBIGene:358	AQP3::NCBIGene:360	660	enables	32
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	116	in 1 to 1 orthology relationship with	232
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	116	has phenotype	232
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	116	is part of	96
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	116	None	24
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	116	involved in	112
Aqp1::NCBIGene:11826	NGLY1::NCBIGene:55768	0	NA	0
Aqp1::NCBIGene:11826	AQP1::NCBIGene:358	0	NA	0
Aqp1::NCBIGene:11826	NFE2L1::NCBIGene:4779	0	NA	0
Aqp1::NCBIGene:11826	ENGASE::NCBIGene:64772	0	NA	0
Aqp1::NCBIGene:11826	AQP3::NCBIGene:360	0	NA	0
Aqp1::NCBIGene:11826	AQP11::NCBIGene:282679	0	NA	0
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	40	in 1 to 1 orthology relationship with	80
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	40	has phenotype	80
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	40	Source	40
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	40	involved in	40
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1452	in 1 to 1 orthology relationship with	2904
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1452	has phenotype	2904
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1452	None	932
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1452	involved in	1696
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1452	is part of	236
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1452	enables	40
NFE2L1::NCBIGene:4779	Aqp1::NCBIGene:11826	0	NA	0
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	20	in 1 to 1 orthology relationship with	40
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	20	has phenotype	40
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	20	involved in	40
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	384	in 1 to 1 orthology relationship with	768
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	384	has phenotype	768
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	384	involved in	528
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	384	enables	12
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	384	None	220
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	384	is part of	8
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	152	in 1 to 1 orthology relationship with	304
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	152	has phenotype	304
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	152	None	24
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	152	involved in	152
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	152	is part of	128
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	92	in 1 to 1 orthology relationship with	184
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	92	has phenotype	184
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	92	enables	28
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	92	Source	16
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	92	involved in	96
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	92	None	44
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	156	in 1 to 1 orthology relationship with	312
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	156	has phenotype	312
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	156	None	68
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	156	involved in	164
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	156	is part of	80
ENGASE::NCBIGene:64772	Aqp1::NCBIGene:11826	0	NA	0
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	60	in 1 to 1 orthology relationship with	120
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	60	has phenotype	120
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	60	is part of	32
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	60	involved in	36
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	60	enables	48
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	60	None	4
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	36	in 1 to 1 orthology relationship with	72
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	36	has phenotype	72
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	36	None	16
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	36	involved in	48
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	36	is part of	8
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	40	in 1 to 1 orthology relationship with	80
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	40	has phenotype	80
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	40	involved in	24
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	40	is part of	56
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	0	NA	0
AQP3::NCBIGene:360	AQP1::NCBIGene:358	2864	in 1 to 1 orthology relationship with	5728
AQP3::NCBIGene:360	AQP1::NCBIGene:358	2864	has phenotype	5728
AQP3::NCBIGene:360	AQP1::NCBIGene:358	2864	involved in	2720
AQP3::NCBIGene:360	AQP1::NCBIGene:358	2864	None	2384
AQP3::NCBIGene:360	AQP1::NCBIGene:358	2864	enables	320
AQP3::NCBIGene:360	AQP1::NCBIGene:358	2864	is part of	304
AQP3::NCBIGene:360	Aqp1::NCBIGene:11826	0	NA	0
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	184	in 1 to 1 orthology relationship with	368
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	184	has phenotype	368
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	184	None	36
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	184	enables	164
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	184	involved in	128
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	184	is part of	40
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	8	in 1 to 1 orthology relationship with	16
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	8	has phenotype	16
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	8	is part of	16
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	68	in 1 to 1 orthology relationship with	136
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	68	has phenotype	136
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	68	involved in	48
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	68	None	32
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	68	is part of	56
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	72	in 1 to 1 orthology relationship with	144
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	72	has phenotype	144
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	72	Source	72
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	72	involved in	72
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	2120	in 1 to 1 orthology relationship with	4240
